name,price,link,glass_image,try_on_image
Prairie,$34.95,https://www.glassesshop.com/eyeglasses/fz1461,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb913470af6b.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202007/5f23c58247a31.jpg"
Laguna,$24.95,https://www.glassesshop.com/eyeglasses/fp2126,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d31c85097.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d31dcd3ae.jpg"
Salinas,$24.95,https://www.glassesshop.com/eyeglasses/fp2124,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d30f5d6a5.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d310a2ca7.jpg"
Eleanore,$24.95,https://www.glassesshop.com/eyeglasses/fp2118,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d2e73d859.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30d2e8a08eb.jpg"
Avon,$34.95,https://www.glassesshop.com/eyeglasses/fm1475,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f475d92a02ce.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f475d9439c4a.jpg"
,,,,
Pensacola,$34.95,https://www.glassesshop.com/eyeglasses/fm1473,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f475d83e8e69.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f475f57620b5.jpg"
Maxine,$54.95,https://www.glassesshop.com/eyeglasses/st0244,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30c191bee90.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30c192ebfe0.jpg"
Jellico,$29.95,https://www.glassesshop.com/eyeglasses/fz1495,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30c135657d0.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f30c136a52ec.jpg"
Westlake,$44.95,https://www.glassesshop.com/eyeglasses/fz1437,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb9129c7a05e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202007/5f23c5797c60d.jpg"
Gulfport,$19.95,https://www.glassesshop.com/eyeglasses/fp2106,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5ef06e3a89c4c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5ef06e3be5b29.jpg"
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2071,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f28fbccc8a8b.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f28fbce74129.jpg"
Libra,$24.95,https://www.glassesshop.com/eyeglasses/fp2047,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43692687da0.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e436927dcd1f.jpg"
Leigh,$29.95,https://www.glassesshop.com/eyeglasses/fz1368,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d268bd885fb9.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5eaa808b8572b.jpg"
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2043,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690c5abed.jpg"
Fresno,$12.95,https://www.glassesshop.com/eyeglasses/fp2038,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f71e127e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f7359e9f.jpg"
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2035,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dbfed02cae13.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dbfed0443ba6.jpg"
